IR,UER,TEMP,stock_index_price,Year
1.41,4.0,31.7,2713.83,2018
1.42,4.1,42.0,2640.87,2018
1.51,4.0,40.1,2648.05,2018
1.69,4.0,49.5,2705.27,2018
1.7,3.8,66.9,2718.37,2018
1.82,4.0,71.7,2816.29,2018
1.91,3.8,77.6,2901.52,2018
1.91,3.8,78.1,2913.98,2018
1.95,3.7,70.7,2711.74,2018
2.19,3.8,57.7,2760.17,2018
2.2,3.8,44.4,2506.85,2018
2.27,3.9,40.1,2704.1,2018
2.4,4.0,32.5,2784.49,2019
2.4,3.8,36.2,2834.4,2019
2.41,3.8,41.7,2945.83,2019
2.42,3.6,55.5,2752.06,2019
2.39,3.7,62.2,2941.76,2019
2.38,3.6,71.7,2980.38,2019
2.4,3.7,79.6,2926.46,2019
2.13,3.7,75.5,2976.74,2019
2.04,3.5,70.4,3037.56,2019
1.83,3.6,59.9,3140.98,2019
1.55,3.6,43.9,3230.78,2019
1.55,3.6,38.3,3225.52,2019
1.55,3.5,39.1,2954.22,2020
1.58,3.5,40.1,2584.59,2020
0.65,4.4,48.0,2912.43,2020
0.05,14.7,50.4,3044.31,2020
0.05,13.2,60.3,3100.29,2020
0.08,11.0,73.7,3271.12,2020
0.09,10.2,80.0,3500.31,2020
0.1,8.4,76.9,3363.0,2020
0.09,7.9,68.8,3269.96,2020
0.09,6.9,57.9,3621.63,2020
0.09,6.7,53.0,3756.07,2020
0.09,6.7,39.2,2968.0,2020
